treatment_order,city_key,grid_id,station_event_id,opening_month,status,active_families,selected_method,donor_scope,control_city_key,control_grid_id,control_unit_key,candidate_count,candidate_city_count,training_feature_count,holdout_feature_count,training_distance,holdout_rms_standardized_gap,holdout_max_abs_standardized_gap,training_distance_threshold,holdout_rms_threshold,holdout_max_abs_threshold,control_selection_uses_post_outcome,failure_reason
133,guangzhou,g00183x00087,guangzhou_station_a28058888386,2010-10,pending,,,,,,,,,,,,,,,,,FALSE,
134,guangzhou,g00193x00086,guangzhou_station_2442a1f540e0,2010-10,pending,,,,,,,,,,,,,,,,,FALSE,
135,guangzhou,g00154x00093,guangzhou_station_6f04643a6983,2010-10,pending,,,,,,,,,,,,,,,,,FALSE,
136,foshan,g00107x00171,foshan_station_d9031b9311c0,2010-11,pending,,,,,,,,,,,,,,,,,FALSE,
137,foshan,g00108x00172,foshan_station_55a0f4e0603b,2010-11,pending,,,,,,,,,,,,,,,,,FALSE,
138,foshan,g00108x00175,foshan_station_0c1011c156f3,2010-11,pending,,,,,,,,,,,,,,,,,FALSE,
139,guangzhou,g00138x00082,guangzhou_station_dfbe9f31d4ba,2010-11,pending,,,,,,,,,,,,,,,,,FALSE,
140,guangzhou,g00139x00079,guangzhou_station_e32e67575663,2010-11,pending,,,,,,,,,,,,,,,,,FALSE,
141,shanghai,g00133x00120,shanghai_station_bbd75ac16927,2010-11,pending,,,,,,,,,,,,,,,,,FALSE,
142,shanghai,g00134x00112,shanghai_station_abde78c13028,2010-11,pending,,,,,,,,,,,,,,,,,FALSE,
143,shanghai,g00134x00116,shanghai_station_ec845f503f52,2010-11,pending,,,,,,,,,,,,,,,,,FALSE,
144,shanghai,g00177x00119,shanghai_station_d6328ca2f003,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
145,shanghai,g00180x00117,shanghai_station_1b45b4bf0c74,2010-12,pending,,,,,,,,,,,,,,,,,FALSE,
